Designator,Supplier Part Number,Supplier,Quantity,Comment,Manufacturer,Manufacturer Part Number,Footprint,Description,Case/Package
"U7","C168856","LCSC","1","74LVC1T45W6-7","Diodes","74LVC1T45W6-7","SOT-23-6","74LVC Series 5.5 V 3-State SMT Single Bit Dual Supply Transceiver - SOT-26","SOT-23-6"
"U8","C965557","LCSC","1","WS2812B-4020","Worldsemi","WS2812B-4020","WS2812B-4020","SMD,2x4mm RGB LEDs(Built-in IC) ROHS",""
"C19, C20","C513710","LCSC","2","220nF","Yageo","CC0805KKX7R0BB224","CAP_0805_SK","CAP CER 0.22UF 100V X7R 0805","0805"
"CONN5, CONN6","","","2","781710002","Molex","78171-0002","MOLEX_0781710002_HANDSOLDER_NTC","Pico-EZmate Wire-to-Board Header Vertical Housing Height 1.55mm with Side Friction Locks 2 Circuits",""
"L1, L2","C5291902","LCSC","2","120uH","CENKER","CKCS8040-120uH/M","IND_8x8x4","950mA 120uH 334mO 1.12A Magnetic Shielded Inductor ±20% SMD,8x8mm Fixed Inductors RoHS",""
"R1, R3","C25889","LCSC","2","3.01k","Royal Ohm","0402WGF3011TCE","RES_0402","Thick Film Resistors - SMD RMC 0402 1/16W 1% T/R-10000",""
"R2, R4","C25765","LCSC","2","20k","UNI-ROYAL","0402WGF2002TCE","RES_0402","20kO ±1% 62.5mW 0402 Thick Film Resistor",""
"R13, R14","C25905","LCSC","2","5.1k","Uni-Royal","0402WGF5101TCE","RES_0402","Res Thick Film 0402 5.1K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R",""
"R28, R29","C858641","LCSC","2","0.1","Yageo Group","PT0603FR-7W0R1L","RES_0603","Res Thick Film 0603 0.1 Ohm 1% 0.2W(1/5W) ±200ppm/C Pad SMD Automotive T/R","0603"
"SW8, SW9","C393942","LCSC","2","TS24CA","SHOU HAN","TS24CA","SW_TS24CA","1.8mm 3.5mm Rectangle button 50mA Horizontal attachment 4.55mm SPST 12V SMD Tactile Switches ROHS spst",""
"U2, U3","C114277","LCSC","2","TPS92511DDAR","Texas Instruments","TPS92511DDAR","VREG_LM5017MR/NOPB","500mA 30W Anode Capable constant current buck LED Dvr 8-SO PowerPAD -40 to 125","HSOP"
"C1, C3, C5","C237304","LCSC","3","4.7uF","Murata","GRM31CC72A475KE11L","CAP_1206_SK","100V 4.7uF X7S ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1206"
"C8, C9, C11","C45783, C98190","LCSC","3","22uF","Samsung Electro-Mechanics, Samsung","CL21A226MAQNNNE, CL21A226MOQNNNE","CAP_0805_SK","Multilayer Ceramic Capacitor, 22 uF, 25 V, ± 20%, X5R, 0805 [2012 Metric], Cap Ceramic 22uF 16V X5R 20% SMD 0805 85°C Embossed Plastic T/R","0805"
"D1, D2, D3","C77393","LCSC","3","SS2PH10-M3/84A","Vishay","SS2PH10-M3/84A","DIOD_DO-220AA (SMP)","Rectifier Diode, Schottky, 1 Phase, 1 Element, 2A, 100V V(RRM), Silicon, DO-220AA","DO-220AA"
"D5, D6, D7","C5246195","LCSC","3","LESD5D5.0CT1G_Leiditech","Leiditech","LESD5D5.0CT1G","DIOD_SOD523","ESD DIODE 5VWM 12VC SOD-523 bi-directional",""
"R7, R8, R35","C25900","LCSC","3","4.7k","Royal Ohm","0402WGF4701TCE","RES_0402","Res Thick Film 0402 4.7K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R",""
"R16, R23, R26, R27","C137962","LCSC","4","4.7","Yageo","RC0402FR-074R7L","RES_0402","SMD Chip Resistor 4.7 Ohm ½ 1% 62.5 Mw 0402 [1005 Metric] Thick Film General Purpose","0402"
"C2, C4, C12, C16, C17","C52923","LCSC","5","1uF","Samsung","CL05A105KA5NQNC","CAP_0402_SK","1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","0402"
"R9, R10, R17, R33, R36","C25744","LCSC","5","10k","Uni-Royal","0402WGF1002TCE","RES_0402","Res Thick Film 0402 10K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R",""
"R11, R12, R30, R38, R39","C106231","LCSC","5","0","Yageo","RC0402FR-070RL","RES_0402","Res Thick Film 0402 0 Ohm Molded SMD SMD Paper T/R","0402"
"R18, R19, R20, R21, R22","C276273","LCSC","5","510","Yageo","RC0402FR-07510RL","RES_0402","SMD Chip Resistor, 510 Ohm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose","0402"
"C6, C10, C13, C14, C21, C22","C1525","LCSC","6","100nF","Samsung Electro-Mechanics","CL05B104KO5NNNC","CAP_0402_SK","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402"
